"","Closing_Balance_Today","Opening_Balance_Today","Opening_Balance_This_Month","Opening_Balance_This_Fiscal_Year","Fiscal_Year","Fiscal_Quarter_Number","Calender_Year","Calender_Quarter_Number","Calender_Month_Number","Calender_Day_Number"
"131",165132.970547626,159035.820831865,258318.304392174,216281.366904256,2022.00178807198,1.0008262570615,5.0034067157983,3.99435168177402,11.0195272481287,23.9938873034771
"132",172465.248935772,166831.152264831,266117.194848015,215750.308045612,2022.00078825529,1.00043928390148,5.00238943605019,3.99403456086748,11.0198466017307,22.9974869616753
"133",173790.972602115,168647.179283722,268300.571015019,215674.539339449,2022.00048268072,1.00034278267686,5.00213694383093,3.99372573023074,11.0205915271859,21.9973146652181
"134",174125.616815227,170465.322395523,271429.600210977,215455.698661042,2021.99999342973,1.00017380106159,5.00182947184545,3.99282963259781,11.0231339755539,18.9987876446204
"135",176679.368668068,173504.561234427,274764.069761733,215338.171961327,2021.99954467858,1.00002858131423,5.00142326332901,3.99251424233704,11.0237823827743,17.9985662473702
"136",186883.801991294,184162.570283695,285262.310300531,214830.96918654,2021.99820705929,0.999552921631395,5.00005272431279,3.9921702615571,11.0238534774632,17.0001089387522
"137",197893.401558456,195621.337285407,296510.284132223,214211.373870911,2021.99677761932,0.999027649278018,4.99857702222675,3.99183003765346,11.0238770428332,16.0029781082317
"138",204822.427551864,203016.534370365,303937.317274253,213798.490729482,2021.99582229397,0.998678386642475,4.99761559825401,3.99150516951431,11.0242087326884,15.0049243738087
"139",210314.652244473,209971.794118115,311899.86901645,213388.249903238,2021.99473210457,0.998301462698378,4.99666171006577,3.99058304072207,11.0263487841615,12.0064471842736
"140",222033.232435569,222633.125286021,324756.551587949,212772.416776498,2021.99306758154,0.997716328097811,4.99501373100692,3.98993173023067,11.0271548971769,10.0082328360629
"141",235193.299973255,236233.227256024,338017.479884008,212032.186275139,2021.99138856514,0.997095867046456,4.99326640126913,3.98958452253607,11.0270182481567,9.01177532576704
"142",237221.411896752,238746.63860533,340850.264602305,211779.617051063,2021.99100479355,0.996939717033794,4.99291811437267,3.98928643373115,11.0277363051165,8.01401882760587
"143",235115.732264734,238136.043752538,341699.89469994,211780.744964335,2021.99079675146,0.99689602105547,4.99292315987745,3.98839038737411,11.0304451686811,5.01340006948481
"144",243026.303112218,246509.974211038,350051.122920028,211405.06936563,2021.98972528168,0.996522489256968,4.99184250746525,3.98805358613332,11.030686633205,4.01417902762165
"145",257611.938044418,261530.838948619,364651.446868442,210669.83666707,2021.98787876545,0.995856587175705,4.98991948839665,3.98769369537707,11.0304280312271,3.0168099236158
"146",251011.427244919,255448.251084874,359391.322255829,210627.849904579,2021.98850301166,0.996025537885788,4.99064700923866,3.98744954755363,11.0318396125966,2.02072213873178
"147",238826.804789915,243812.677088518,348933.737800394,211402.906721648,2021.98976315907,0.996546377113315,4.99210580727429,3.98717578430184,11.0335738660969,1.01483445663451
"148",229331.146252263,220498.141955824,312253.751378021,208833.790945405,2021.96894168101,0.99260319137891,5.00866035879843,3.83372848022753,10.5129743688233,29.0269142215677
"149",214296.707598162,206020.720950574,299112.087151697,209487.652747361,2021.97053936016,0.993191756984877,5.01046464652856,3.83349061149139,10.5149730223242,28.0246261259653
"150",214245.14501444,206467.825852816,300016.284837158,209660.125931758,2021.97038949769,0.993191758235599,5.01039492527536,3.83317004788339,10.5157888747087,27.0212900246109
"151",207991.08515102,200730.291711559,295080.75300597,209603.746162943,2021.97097341408,0.993346421536502,5.0110789452044,3.83292429705508,10.5171737104523,26.0252301359856
"152",189166.860519018,182481.174255874,278399.602922856,210605.799255052,2021.97300764732,0.994130922192388,5.01336890687718,3.83268588396295,10.5194295842838,25.0195883890323
"153",162982.673449673,157887.474279902,256683.074836699,211491.346956765,2021.97560534712,0.995056118122387,5.0163913185115,3.83191223253956,10.5240187590556,22.0188831374588
"154",130413.938837992,125950.545253552,227129.637458859,213150.594431318,2021.97923747468,0.99642534796559,5.0204115004091,3.83172924506061,10.5273197220196,21.0107572002962
"155",124071.589279576,120132.824171353,222142.301376431,213624.571612191,2021.97981894255,0.996693124080035,5.02113372802825,3.83143398218326,10.5286137744618,20.0062727559829
"156",129711.64541625,126243.833703251,228360.027615935,213236.952447231,2021.97901434762,0.996391138670453,5.020332692548,3.83111775894029,10.5290502127923,19.0085672819209
"157",100658.702342371,97800.3257914683,202067.874635419,214193.210091218,2021.98225066426,0.997499622364677,5.02388274712163,3.83097129092098,10.5321829634707,18.0096251774732
"158",68221.2652378659,66988.0414706212,174530.323882207,215980.818060335,2021.98556077608,0.998816194326592,5.0277234004363,3.83016569690778,10.5371358642305,14.9981517035755
"159",75304.2607117912,74538.9872531174,182111.190783269,215724.723096312,2021.98458358442,0.998494499873966,5.02675104703002,3.82982464941428,10.5374254285439,13.9975023790032
"160",79239.7395601567,78950.6515932378,186725.330084318,215296.257480857,2021.98398011469,0.998239601347347,5.02615829087177,3.82952689663162,10.5380141500258,13.0014442080347
"161",82014.4575609745,82211.552236627,190273.157185565,215277.435656657,2021.98350303445,0.998107692836454,5.02572989303937,3.82920025846205,10.5386255071108,11.9995164093042
